Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag
"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,13.6,10.2,17.4,10.2 - 17.4,11.5-18.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,11.4,8.8,14.5,8.8 - 14.5,10.4-11.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,11.1,7.4,15.9,7.4 - 15.9,10.4-11.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,15.4,11.0,20.8,11.0 - 20.8,11.5-18.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,10.9,8.2,14.1,8.2 - 14.1,10.4-11.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,9.3,7.1,12.0,7.1 - 12.0,8.7-10.3,
"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,10.3,7.3,14.0,7.3 - 14.0,8.7-10.3,
"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,10.0,7.4,13.2,7.4 - 13.2,8.7-10.3,
"Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,11.6,9.2,14.3,9.2 - 14.3,11.5-18.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,7.6,5.9,9.6,5.9 - 9.6,4.6-8.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,8.7,6.5,11.4,6.5 - 11.4,8.7-10.3,
"Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,8.6,6.5,11.0,6.5 - 11.0,4.6-8.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,9.7,7.5,12.3,7.5 - 12.3,8.7-10.3,
"Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,8.3,5.8,11.5,5.8 - 11.5,4.6-8.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,12.5,8.3,17.9,8.3 - 17.9,11.5-18.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,11.9,9.6,14.6,9.6 - 14.6,11.5-18.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,11.9,9.9,14.2,9.9 - 14.2,11.5-18.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,8.7,6.9,10.9,6.9 - 10.9,8.7-10.3,
"Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,13.3,11.1,15.8,11.1 - 15.8,11.5-18.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,4.6,2.8,7.2,2.8 - 7.2,4.6-8.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,8.3,6.2,10.9,6.2 - 10.9,4.6-8.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,10.5,7.0,14.8,7.0 - 14.8,10.4-11.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,8.1,5.6,11.4,5.6 - 11.4,4.6-8.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,8.2,6.0,11.0,6.0 - 11.0,4.6-8.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,9.7,7.6,12.1,7.6 - 12.1,8.7-10.3,
"Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,10.6,7.9,13.8,7.9 - 13.8,10.4-11.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,11.6,8.7,15.1,8.7 - 15.1,11.5-18.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,13.1,10.3,16.3,10.3 - 16.3,11.5-18.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,11.6,8.5,15.4,8.5 - 15.4,11.5-18.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,10.6,5.4,18.2,5.4 - 18.2,10.4-11.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,8.6,6.8,10.6,6.8 - 10.6,4.6-8.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,9.9,6.1,15.0,6.1 - 15.0,8.7-10.3,
"Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,11.3,9.4,13.5,9.4 - 13.5,10.4-11.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,10.5,8.5,12.9,8.5 - 12.9,10.4-11.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,18.6,12.9,25.4,12.9 - 25.4,11.5-18.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,9.6,6.5,13.5,6.5 - 13.5,8.7-10.3,
"Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,8.9,5.9,12.7,5.9 - 12.7,8.7-10.3,
"Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,8.6,6.0,11.9,6.0 - 11.9,4.6-8.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,6.5,5.0,8.3,5.0 - 8.3,4.6-8.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,11.4,9.3,13.8,9.3 - 13.8,10.4-11.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,15.0,11.1,19.6,11.1 - 19.6,11.5-18.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,10.8,8.5,13.5,8.5 - 13.5,10.4-11.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,11.1,8.7,13.9,8.7 - 13.9,10.4-11.4,
"Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,7.9,5.4,11.1,5.4 - 11.1,4.6-8.6,
"Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,9.4,7.2,12.1,7.2 - 12.1,8.7-10.3,
"Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,8.0,5.1,11.8,5.1 - 11.8,4.6-8.6,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,24.7,24.1,25.3,24.1 - 25.3,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,27.3,25.2,29.4,25.2 - 29.4,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,27.1,25.5,28.7,25.5 - 28.7,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,25.5,23.9,27.1,23.9 - 27.1,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,26.6,25.3,27.8,25.3 - 27.8,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,22.5,21.4,23.6,21.4 - 23.6,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,19.6,17.8,21.6,17.8 - 21.6,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,14.6,11.3,18.4,11.3 - 18.4,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Male,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,18.7,17.9,19.5,17.9 - 19.5,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Female,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,30.1,29.3,31.0,29.3 - 31.0,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,16.7,16.0,17.4,16.0 - 17.4,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,43.8,42.2,45.4,42.2 - 45.4,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,19.8,18.0,21.7,18.0 - 21.7,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,27.1,26.4,27.9,26.4 - 27.9,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,21.5,19.5,23.7,19.5 - 23.7,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,13.0,10.7,15.6,10.7 - 15.6,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,26.2,22.8,29.8,22.8 - 29.8,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,23.1,19.5,26.9,19.5 - 26.9,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,21.5,19.9,23.2,19.9 - 23.2,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,27.1,26.1,28.2,26.1 - 28.2,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,25.6,24.7,26.5,24.7 - 26.5,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,With disability,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,45.6,43.7,47.6,43.7 - 47.6,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Disability status,United States,Without disability,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,21.5,20.9,22.2,20.9 - 22.2,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,27.0,22.0,32.5,22.0 - 32.5,25.9-28.1,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,18.5,15.2,22.3,15.2 - 22.3,17.9-22.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,22.5,18.2,27.4,18.2 - 27.4,17.9-22.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,26.7,23.3,30.2,23.3 - 30.2,25.9-28.1,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,California,California,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,21.0,19.0,23.2,19.0 - 23.2,17.9-22.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,26.7,22.7,31.1,22.7 - 31.1,25.9-28.1,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,21.7,18.2,25.6,18.2 - 25.6,17.9-22.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,19.5,15.3,24.3,15.3 - 24.3,17.9-22.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,25.0,19.1,31.5,19.1 - 31.5,22.9-25.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,25.1,21.2,29.3,21.2 - 29.3,22.9-25.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,21.5,18.0,25.4,18.0 - 25.4,17.9-22.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,17.9,13.4,23.3,13.4 - 23.3,17.9-22.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,28.2,23.8,32.8,23.8 - 32.8,28.2-32.9,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,25.5,22.2,29.0,22.2 - 29.0,22.9-25.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,26.2,22.5,30.2,22.5 - 30.2,25.9-28.1,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,30.7,26.1,35.6,26.1 - 35.6,28.2-32.9,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,21.4,18.0,25.1,18.0 - 25.1,17.9-22.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,30.9,25.7,36.6,25.7 - 36.6,28.2-32.9,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,29.8,24.5,35.5,24.5 - 35.5,28.2-32.9,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,29.3,24.4,34.5,24.4 - 34.5,28.2-32.9,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,22.4,19.7,25.3,19.7 - 25.3,17.9-22.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,26.5,23.6,29.6,23.6 - 29.6,25.9-28.1,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,24.9,21.6,28.4,21.6 - 28.4,22.9-25.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,32.9,29.8,36.1,29.8 - 36.1,28.2-32.9,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,20.8,17.3,24.7,17.3 - 24.7,17.9-22.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,26.4,22.9,30.2,22.9 - 30.2,25.9-28.1,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,23.4,18.5,28.9,18.5 - 28.9,22.9-25.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,22.8,18.9,27.0,18.9 - 27.0,17.9-22.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,21.7,18.3,25.5,18.3 - 25.5,17.9-22.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,28.1,23.8,32.8,23.8 - 32.8,25.9-28.1,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,24.1,20.1,28.5,20.1 - 28.5,22.9-25.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,22.9,18.9,27.3,18.9 - 27.3,22.9-25.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,24.6,20.6,29.0,20.6 - 29.0,22.9-25.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,27.8,23.4,32.5,23.4 - 32.5,25.9-28.1,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,30.6,24.6,37.1,24.6 - 37.1,28.2-32.9,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,25.8,22.3,29.6,22.3 - 29.6,22.9-25.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,26.8,21.5,32.5,21.5 - 32.5,25.9-28.1,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,28.7,25.8,31.9,25.8 - 31.9,28.2-32.9,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,26.8,24.0,29.8,24.0 - 29.8,25.9-28.1,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,31.0,24.7,37.9,24.7 - 37.9,28.2-32.9,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,29.4,24.9,34.3,24.9 - 34.3,28.2-32.9,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,27.7,23.0,32.9,23.0 - 32.9,25.9-28.1,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,26.9,21.9,32.3,21.9 - 32.3,25.9-28.1,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,20.2,18.1,22.4,18.1 - 22.4,17.9-22.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,28.9,25.7,32.2,25.7 - 32.2,28.2-32.9,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,31.4,25.4,37.9,25.4 - 37.9,28.2-32.9,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,25.5,21.8,29.5,21.8 - 29.5,22.9-25.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,25.7,22.7,29.0,22.7 - 29.0,22.9-25.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,27.6,23.4,32.1,23.4 - 32.1,25.9-28.1,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,22.8,18.5,27.6,18.5 - 27.6,17.9-22.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,23.8,16.4,32.5,16.4 - 32.5,22.9-25.8,
