Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,38.9,37.2,40.7
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,35.6,34.0,37.2
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,32.3,30.6,34.0
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,25.8,24.4,27.3
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,19.6,18.1,21.2
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,18.1,14.7,21.8
Symptoms of Anxiety Disorder,By Sex,United States,Male,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,29.6,28.4,30.8
Symptoms of Anxiety Disorder,By Sex,United States,Female,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,36.8,35.7,37.8
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,36.9,34.5,39.3
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,32.1,31.3,33.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,35.5,33.2,37.9
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,27.6,24.6,30.9
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,42.8,39.5,46.0
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,39.2,35.8,42.6
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,33.4,31.8,35.1
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,37.4,36.1,38.7
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,28.2,27.3,29.0
Symptoms of Anxiety Disorder,By State,Alabama,Alabama,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,30.0,25.2,35.2
Symptoms of Anxiety Disorder,By State,Alaska,Alaska,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,31.9,27.9,36.2
Symptoms of Anxiety Disorder,By State,Arizona,Arizona,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,31.6,28.3,35.2
Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,33.7,28.2,39.5
Symptoms of Anxiety Disorder,By State,California,California,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,35.9,33.1,38.8
Symptoms of Anxiety Disorder,By State,Colorado,Colorado,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,31.8,28.9,34.9
Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,35.8,31.8,39.9
Symptoms of Anxiety Disorder,By State,Delaware,Delaware,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,30.3,24.7,36.4
Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,34.5,28.4,40.9
Symptoms of Anxiety Disorder,By State,Florida,Florida,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,32.2,28.8,35.7
Symptoms of Anxiety Disorder,By State,Georgia,Georgia,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,34.7,29.7,40.0
Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,31.9,26.3,37.9
Symptoms of Anxiety Disorder,By State,Idaho,Idaho,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,30.2,26.0,34.7
Symptoms of Anxiety Disorder,By State,Illinois,Illinois,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,34.2,30.8,37.8
Symptoms of Anxiety Disorder,By State,Indiana,Indiana,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,33.9,29.3,38.6
Symptoms of Anxiety Disorder,By State,Iowa,Iowa,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,29.1,25.7,32.7
Symptoms of Anxiety Disorder,By State,Kansas,Kansas,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,27.6,23.5,32.0
Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,40.1,34.1,46.3
Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,39.0,33.4,44.8
Symptoms of Anxiety Disorder,By State,Maine,Maine,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,33.4,28.7,38.4
Symptoms of Anxiety Disorder,By State,Maryland,Maryland,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,32.3,28.5,36.3
Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,33.4,29.9,37.1
Symptoms of Anxiety Disorder,By State,Michigan,Michigan,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,32.7,28.5,37.1
Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,25.0,22.1,28.1
Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,40.5,31.6,49.9
Symptoms of Anxiety Disorder,By State,Missouri,Missouri,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,34.4,29.6,39.5
Symptoms of Anxiety Disorder,By State,Montana,Montana,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,25.2,20.6,30.2
Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,21.4,18.3,24.8
Symptoms of Anxiety Disorder,By State,Nevada,Nevada,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,40.9,36.0,46.0
Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,26.6,22.4,31.2
Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,33.1,29.4,37.1
Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,33.5,29.9,37.4
Symptoms of Anxiety Disorder,By State,New York,New York,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,32.7,28.2,37.5
Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,33.0,27.5,38.9
Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,25.3,20.1,31.1
Symptoms of Anxiety Disorder,By State,Ohio,Ohio,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,33.7,28.2,39.5
Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,36.1,31.6,40.7
Symptoms of Anxiety Disorder,By State,Oregon,Oregon,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,35.5,32.0,39.2
Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,32.6,27.9,37.5
Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,32.8,26.8,39.2
Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,27.9,23.2,32.9
Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,26.8,21.3,33.1
Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,37.6,33.3,42.0
Symptoms of Anxiety Disorder,By State,Texas,Texas,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,34.8,31.5,38.1
Symptoms of Anxiety Disorder,By State,Utah,Utah,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,32.4,29.5,35.3
Symptoms of Anxiety Disorder,By State,Vermont,Vermont,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,29.0,23.8,34.5
Symptoms of Anxiety Disorder,By State,Virginia,Virginia,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,31.9,27.6,36.3
Symptoms of Anxiety Disorder,By State,Washington,Washington,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,34.2,30.7,37.9
Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,33.3,27.8,39.2
Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,26.4,22.4,30.6
Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,33.2,27.1,39.8
Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,38.9,38.1,39.7
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,56.1,53.6,58.6
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,45.0,43.2,46.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,39.8,38.2,41.5
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,37.2,35.3,39.2
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,30.4,29.0,31.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,24.3,22.7,26.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,22.4,18.9,26.3
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Male,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,35.5,34.2,36.7
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Female,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,42.0,40.9,43.2
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,42.9,40.6,45.2
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,37.4,36.4,38.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,41.5,39.2,43.8
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,33.8,30.6,37.1
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,48.6,45.6,51.6
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,46.0,42.8,49.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,39.7,37.7,41.7
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,43.5,42.2,44.7
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,32.3,31.4,33.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,36.5,31.0,42.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,35.6,31.7,39.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,38.9,35.2,42.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,39.7,34.1,45.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,41.5,38.5,44.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,37.6,34.4,41.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,40.6,36.5,44.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,33.7,28.5,39.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,36.4,30.5,42.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,38.5,34.7,42.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,40.7,35.8,45.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,34.6,29.0,40.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,35.9,31.8,40.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,38.2,34.7,41.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,38.8,34.4,43.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,34.3,31.0,37.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,31.5,27.6,35.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,45.9,40.4,51.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,42.5,37.0,48.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,36.8,31.8,42.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,36.8,33.1,40.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,39.7,36.1,43.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,38.3,33.6,43.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,27.8,25.0,30.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,45.8,37.0,54.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,37.8,32.7,43.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,31.1,25.0,37.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,25.5,22.5,28.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,46.5,41.7,51.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,34.4,29.7,39.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,38.0,34.7,41.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,42.5,37.9,47.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,38.7,33.8,43.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,38.8,33.5,44.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,30.1,24.6,36.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,38.3,33.1,43.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,42.2,37.2,47.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,41.2,37.4,45.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,38.3,32.9,43.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,38.5,32.2,45.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,36.6,31.3,42.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,31.3,25.4,37.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,43.5,38.8,48.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,40.9,37.6,44.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,36.8,34.1,39.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,37.2,31.8,42.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,37.0,32.5,41.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,40.1,36.9,43.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,39.1,32.9,45.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,30.4,26.4,34.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,3 (Jan 6 - Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,38.1,31.8,44.6
Symptoms of Depressive Disorder,National Estimate,United States,United States,3 (Jan 6 - Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,26.4,25.8,27.0
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,3 (Jan 6 - Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,41.2,38.6,43.9
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,3 (Jan 6 - Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,30.7,28.8,32.6
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,3 (Jan 6 - Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,26.5,25.4,27.7
